FileOpenedAction 1443776882105 SudokuVerifier.java 198 1 1 0
RefactoringAction 1443776885825 SudokuVerifier.java ADD String valid FIELD
RefactoringAction 1443776885826 SudokuVerifier.java ADD String invalid FIELD
RefactoringAction 1443776885827 SudokuVerifier.java ADD void possibleSolution() METHOD
EditAction 1443777106556 SudokuVerifier.java 539 2 2 0
RefactoringAction 1443777678923 TestSudokuVerifier.java RENAME test()=>void testInput() METHOD
RefactoringAction 1443777682433 TestSudokuVerifier.java RENAME testInput()=>void testInputLength() METHOD
RefactoringAction 1443777908052 TestSudokuVerifier.java ADD SudokuVerifier game FIELD
RefactoringAction 1443777923587 TestSudokuVerifier.java ADD void setup() METHOD
RefactoringAction 1443777962240 TestSudokuVerifier.java ADD import org.junit.Before IMPORT
EditAction 1443778288621 SudokuVerifier.java 941 2 3 0
EditAction 1443778288700 TestSudokuVerifier.java 364 2 2 1
UnitTestCaseAction 1443778289396 TestSudokuVerifier.java OK
UnitTestSessionAction 1443778289399 Sudoku OK
RefactoringAction 1443778357809 TestSudokuVerifier.java ADD void test FIELD
RefactoringAction 1443778360821 TestSudokuVerifier.java RENAME test=>void testSubGrid FIELD
RefactoringAction 1443778362835 TestSudokuVerifier.java RENAME testSubGrid=>void testSubGrid() METHOD
RefactoringAction 1443778412963 TestSudokuVerifier.java RENAME testSubGrid()=>void testIn() METHOD
RefactoringAction 1443778414477 TestSudokuVerifier.java RENAME testIn()=>void test() METHOD
RefactoringAction 1443778415491 TestSudokuVerifier.java RENAME test()=>void testI() METHOD
RefactoringAction 1443778417505 TestSudokuVerifier.java RENAME testI()=>void testInput() METHOD
RefactoringAction 1443778420519 TestSudokuVerifier.java RENAME testInput()=>void testInputString() METHOD
RefactoringAction 1443778421533 TestSudokuVerifier.java RENAME testInputString()=>void testInputStringIs() METHOD
RefactoringAction 1443778424047 TestSudokuVerifier.java RENAME testInputStringIs()=>void testInputStringIsValid() METHOD
RefactoringAction 1443778805910 SudokuVerifier.java ADD import org.hamcrest.core.Is IMPORT
EditAction 1443778927951 SudokuVerifier.java 1072 2 4 0
